ProductKey,Product Code,Manufacturer,Brand,Color,Weight Unit Measure,Weight,Unit Cost,Unit Price,Subcategory Code,Subcategory,Category Code,Category
798,308056,"Contoso, Ltd",Contoso,White,pounds,10.1,10.99,23.9,308,Computers Accessories,3,Computers
799,308057,"Contoso, Ltd",Contoso,White,pounds,3.5,13.22,39.9,308,Computers Accessories,3,Computers
800,308058,"Contoso, Ltd",Contoso,White,pounds,5.3,15.27,29.95,308,Computers Accessories,3,Computers
801,308059,"Contoso, Ltd",Contoso,White,pounds,5.6,10.15,19.9,308,Computers Accessories,3,Computers
802,308060,"Contoso, Ltd",Contoso,White,pounds,12.6,7.9,15.5,308,Computers Accessories,3,Computers
803,308061,"Contoso, Ltd",Contoso,White,pounds,7.7,9.13,17.9,308,Computers Accessories,3,Computers
804,308062,"Contoso, Ltd",Contoso,White,pounds,12.8,11.68,22.9,308,Computers Accessories,3,Computers
805,308063,"Contoso, Ltd",Contoso,White,pounds,6.2,26.97,52.9,308,Computers Accessories,3,Computers
806,308064,"Contoso, Ltd",Contoso,White,pounds,10,8.11,15.9,308,Computers Accessories,3,Computers
807,308065,"Contoso, Ltd",Contoso,White,pounds,11.5,6.07,11.9,308,Computers Accessories,3,Computers
1349,501034,"Contoso, Ltd",Contoso,White,pounds,2.7,5.09,9.99,501,Home & Office Phones,5,Cell phones
1350,501035,"Contoso, Ltd",Contoso,White,pounds,1.5,6.62,12.99,501,Home & Office Phones,5,Cell phones
1351,501036,"Contoso, Ltd",Contoso,White,pounds,8,8.66,16.99,501,Home & Office Phones,5,Cell phones
1352,501037,"Contoso, Ltd",Contoso,White,pounds,2.9,10.57,22.99,501,Home & Office Phones,5,Cell phones
1353,501038,"Contoso, Ltd",Contoso,White,pounds,2.2,12.41,26.99,501,Home & Office Phones,5,Cell phones
1354,501039,"Contoso, Ltd",Contoso,White,pounds,2.4,13.33,28.99,501,Home & Office Phones,5,Cell phones
1355,501040,"Contoso, Ltd",Contoso,White,pounds,2,15.17,32.99,501,Home & Office Phones,5,Cell phones
1356,501041,"Contoso, Ltd",Contoso,White,pounds,2.4,16.55,35.99,501,Home & Office Phones,5,Cell phones
1357,501042,"Contoso, Ltd",Contoso,White,pounds,2.7,17.93,38.99,501,Home & Office Phones,5,Cell phones
1358,501043,"Contoso, Ltd",Contoso,White,pounds,2,18.39,39.99,501,Home & Office Phones,5,Cell phones
1359,501044,"Contoso, Ltd",Contoso,White,pounds,5,14.24,42.99,501,Home & Office Phones,5,Cell phones
1360,501045,"Contoso, Ltd",Contoso,White,pounds,5.5,15.57,46.99,501,Home & Office Phones,5,Cell phones
1361,501046,"Contoso, Ltd",Contoso,White,pounds,6,16.56,49.99,501,Home & Office Phones,5,Cell phones
1362,501047,"Contoso, Ltd",Contoso,White,pounds,1.5,7.81,16.99,501,Home & Office Phones,5,Cell phones
1363,501048,"Contoso, Ltd",Contoso,White,pounds,1.6,10.57,22.99,501,Home & Office Phones,5,Cell phones
1364,501049,"Contoso, Ltd",Contoso,White,pounds,1.7,12.41,26.99,501,Home & Office Phones,5,Cell phones
1365,501050,"Contoso, Ltd",Contoso,White,pounds,2.2,13.33,28.99,501,Home & Office Phones,5,Cell phones
1366,501051,"Contoso, Ltd",Contoso,White,pounds,1.9,15.17,32.99,501,Home & Office Phones,5,Cell phones
1367,501052,"Contoso, Ltd",Contoso,White,pounds,5,16.55,35.99,501,Home & Office Phones,5,Cell phones
1368,501053,"Contoso, Ltd",Contoso,White,pounds,2.7,18.48,40.19,501,Home & Office Phones,5,Cell phones
1369,501054,"Contoso, Ltd",Contoso,White,pounds,1.5,20.15,43.81,501,Home & Office Phones,5,Cell phones
1370,501055,"Contoso, Ltd",Contoso,White,pounds,8,21.82,47.44,501,Home & Office Phones,5,Cell phones
1371,501056,"Contoso, Ltd",Contoso,White,pounds,2.9,15.17,32.99,501,Home & Office Phones,5,Cell phones
1372,501057,"Contoso, Ltd",Contoso,White,pounds,5.5,16.55,35.99,501,Home & Office Phones,5,Cell phones
1373,501058,"Contoso, Ltd",Contoso,White,pounds,6,7.23,14.19,501,Home & Office Phones,5,Cell phones
1374,501059,"Contoso, Ltd",Contoso,White,pounds,1.5,8.16,16,501,Home & Office Phones,5,Cell phones
1375,501060,"Contoso, Ltd",Contoso,White,pounds,1.6,13.92,42,501,Home & Office Phones,5,Cell phones
1376,501061,"Contoso, Ltd",Contoso,White,pounds,1.7,10.27,31,501,Home & Office Phones,5,Cell phones
1377,501062,"Contoso, Ltd",Contoso,White,pounds,2.2,8.16,16,501,Home & Office Phones,5,Cell phones
1378,501063,"Contoso, Ltd",Contoso,White,pounds,2.7,10.12,22,501,Home & Office Phones,5,Cell phones
1379,501064,"Contoso, Ltd",Contoso,White,pounds,1.5,10.58,23,501,Home & Office Phones,5,Cell phones
1380,501065,"Contoso, Ltd",Contoso,White,pounds,8,9.66,21,501,Home & Office Phones,5,Cell phones
1381,501066,"Contoso, Ltd",Contoso,White,pounds,2.9,10.57,22.99,501,Home & Office Phones,5,Cell phones
1618,602048,"Contoso, Ltd",Contoso,White,pounds,16,27.13,58.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1624,602054,"Contoso, Ltd",Contoso,White,pounds,22,72.56,219,602,Movie DVD,6,"Music, Movies and Audio Books"
1656,602086,"Contoso, Ltd",Contoso,White,pounds,54,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1657,602087,"Contoso, Ltd",Contoso,White,pounds,55,82.77,179.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1658,602088,"Contoso, Ltd",Contoso,White,pounds,56,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1659,602089,"Contoso, Ltd",Contoso,White,pounds,57,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1660,602090,"Contoso, Ltd",Contoso,White,pounds,58,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1867,801041,"Contoso, Ltd",Contoso,White,pounds,158,878.66,2652,801,Washers & Dryers,8,Home Appliances
1868,801042,"Contoso, Ltd",Contoso,White,pounds,146,914.67,1989,801,Washers & Dryers,8,Home Appliances
1869,801043,"Contoso, Ltd",Contoso,White,pounds,140,836.03,1818,801,Washers & Dryers,8,Home Appliances
1870,801044,"Contoso, Ltd",Contoso,White,pounds,168,815.22,1599,801,Washers & Dryers,8,Home Appliances
1871,801045,"Contoso, Ltd",Contoso,White,pounds,155,509.32,999,801,Washers & Dryers,8,Home Appliances
2055,803073,"Contoso, Ltd",Contoso,White,pounds,39,220.64,665.94,803,Microwaves,8,Home Appliances
2056,803074,"Contoso, Ltd",Contoso,White,pounds,37,91.97,199.99,803,Microwaves,8,Home Appliances
2057,803075,"Contoso, Ltd",Contoso,White,pounds,55,82.77,179.99,803,Microwaves,8,Home Appliances
2058,803076,"Contoso, Ltd",Contoso,White,pounds,41,71.37,139.99,803,Microwaves,8,Home Appliances
2059,803077,"Contoso, Ltd",Contoso,White,pounds,26,50.98,99.99,803,Microwaves,8,Home Appliances
2060,803078,"Contoso, Ltd",Contoso,White,pounds,26,48.43,94.99,803,Microwaves,8,Home Appliances
2085,804001,"Contoso, Ltd",Contoso,White,pounds,22,488.7,1475,804,Water Heaters,8,Home Appliances
2086,804002,"Contoso, Ltd",Contoso,White,pounds,5.5,403.53,877.5,804,Water Heaters,8,Home Appliances
2087,804003,"Contoso, Ltd",Contoso,White,pounds,25,363.75,791,804,Water Heaters,8,Home Appliances
2088,804004,"Contoso, Ltd",Contoso,White,pounds,23.6,258.99,508,804,Water Heaters,8,Home Appliances
2089,804005,"Contoso, Ltd",Contoso,White,pounds,8.3,131.28,257.5,804,Water Heaters,8,Home Appliances
2128,805013,"Contoso, Ltd",Contoso,White,pounds,25,546.68,1650,805,Coffee Machines,8,Home Appliances
2129,805014,"Contoso, Ltd",Contoso,White,pounds,30,343.05,745.99,805,Coffee Machines,8,Home Appliances
2130,805015,"Contoso, Ltd",Contoso,White,pounds,21.5,204.64,445,805,Coffee Machines,8,Home Appliances
2131,805016,"Contoso, Ltd",Contoso,White,pounds,30,83.1,163,805,Coffee Machines,8,Home Appliances
2132,805017,"Contoso, Ltd",Contoso,White,pounds,23,75.96,149,805,Coffee Machines,8,Home Appliances
2133,805018,"Contoso, Ltd",Contoso,White,pounds,25,66.23,129.9,805,Coffee Machines,8,Home Appliances
2348,807001,"Contoso, Ltd",Contoso,White,pounds,96,210.72,635.99,807,Air Conditioners,8,Home Appliances
2349,807002,"Contoso, Ltd",Contoso,White,pounds,56,211.53,459.99,807,Air Conditioners,8,Home Appliances
2350,807003,"Contoso, Ltd",Contoso,White,pounds,95,197.74,429.99,807,Air Conditioners,8,Home Appliances
2351,807004,"Contoso, Ltd",Contoso,White,pounds,165,183.94,399.99,807,Air Conditioners,8,Home Appliances
2352,807005,"Contoso, Ltd",Contoso,White,pounds,165,152.94,299.99,807,Air Conditioners,8,Home Appliances
2353,807006,"Contoso, Ltd",Contoso,White,pounds,88,101.96,199.99,807,Air Conditioners,8,Home Appliances
2354,807007,"Contoso, Ltd",Contoso,White,pounds,88,56.08,109.99,807,Air Conditioners,8,Home Appliances
20,101020,"Contoso, Ltd",Contoso,Black,pounds,1,61.62,134,101,MP4&MP3,1,Audio
38,101038,"Contoso, Ltd",Contoso,Black,pounds,2,99.14,299.23,101,MP4&MP3,1,Audio
240,203049,"Contoso, Ltd",Contoso,Black,pounds,34,152.44,299,203,Home Theater System,2,TV and Video
241,203050,"Contoso, Ltd",Contoso,Black,pounds,44.1,167.73,329,203,Home Theater System,2,TV and Video
242,203051,"Contoso, Ltd",Contoso,Black,pounds,11.4,294.54,889,203,Home Theater System,2,TV and Video
243,203052,"Contoso, Ltd",Contoso,Black,pounds,37.2,208.52,409,203,Home Theater System,2,TV and Video
244,203053,"Contoso, Ltd",Contoso,Black,pounds,19,197.28,429,203,Home Theater System,2,TV and Video
245,203054,"Contoso, Ltd",Contoso,Black,pounds,41,224.87,489,203,Home Theater System,2,TV and Video
246,203055,"Contoso, Ltd",Contoso,Black,pounds,7.5,167.73,329,203,Home Theater System,2,TV and Video
247,203056,"Contoso, Ltd",Contoso,Black,pounds,11.4,155.89,339,203,Home Theater System,2,TV and Video
248,203057,"Contoso, Ltd",Contoso,Black,pounds,65,183.49,399,203,Home Theater System,2,TV and Video
249,203058,"Contoso, Ltd",Contoso,Black,pounds,34,101.46,199,203,Home Theater System,2,TV and Video
250,203059,"Contoso, Ltd",Contoso,Black,pounds,30.5,243.27,529,203,Home Theater System,2,TV and Video
251,203060,"Contoso, Ltd",Contoso,Black,pounds,32,244.72,480,203,Home Theater System,2,TV and Video
252,203061,"Contoso, Ltd",Contoso,Black,pounds,73,183.54,360,203,Home Theater System,2,TV and Video
575,305037,"Contoso, Ltd",Contoso,Black,pounds,5.6,760.38,2295,305,Projectors & Screens,3,Computers
576,305038,"Contoso, Ltd",Contoso,Black,pounds,4.1,827.97,2499,305,Projectors & Screens,3,Computers
577,305039,"Contoso, Ltd",Contoso,Black,pounds,6.8,321.44,699,305,Projectors & Screens,3,Computers
578,305040,"Contoso, Ltd",Contoso,Black,pounds,9.6,459.4,999,305,Projectors & Screens,3,Computers
579,305041,"Contoso, Ltd",Contoso,Black,pounds,11.9,116.75,229,305,Projectors & Screens,3,Computers
580,305042,"Contoso, Ltd",Contoso,Black,pounds,4.8,254.4,499,305,Projectors & Screens,3,Computers
581,305043,"Contoso, Ltd",Contoso,Black,pounds,12.3,152.08,459,305,Projectors & Screens,3,Computers
582,305044,"Contoso, Ltd",Contoso,Black,pounds,6,137.5,299,305,Projectors & Screens,3,Computers
583,305045,"Contoso, Ltd",Contoso,Black,pounds,5.1,83.16,251,305,Projectors & Screens,3,Computers
584,305046,"Contoso, Ltd",Contoso,Black,pounds,4.3,62.95,190,305,Projectors & Screens,3,Computers
585,305047,"Contoso, Ltd",Contoso,Black,pounds,16.5,70.87,139,305,Projectors & Screens,3,Computers
586,305048,"Contoso, Ltd",Contoso,Black,pounds,5.1,55.57,109,305,Projectors & Screens,3,Computers
743,308001,"Contoso, Ltd",Contoso,Black,pounds,12.8,6.6,12.95,308,Computers Accessories,3,Computers
744,308002,"Contoso, Ltd",Contoso,Black,pounds,8.2,20.34,39.9,308,Computers Accessories,3,Computers
745,308003,"Contoso, Ltd",Contoso,Black,pounds,23.5,9.17,19.95,308,Computers Accessories,3,Computers
746,308004,"Contoso, Ltd",Contoso,Black,pounds,16.5,7.59,16.5,308,Computers Accessories,3,Computers
747,308005,"Contoso, Ltd",Contoso,Black,pounds,17.3,6.6,12.95,308,Computers Accessories,3,Computers
748,308006,"Contoso, Ltd",Contoso,Black,pounds,16,6.88,13.5,308,Computers Accessories,3,Computers
749,308007,"Contoso, Ltd",Contoso,Black,pounds,17,7.59,16.5,308,Computers Accessories,3,Computers
750,308008,"Contoso, Ltd",Contoso,Black,pounds,20.8,4.37,9.5,308,Computers Accessories,3,Computers
751,308009,"Contoso, Ltd",Contoso,Black,pounds,22.2,5.86,11.5,308,Computers Accessories,3,Computers
752,308010,"Contoso, Ltd",Contoso,Black,pounds,12,4.84,9.5,308,Computers Accessories,3,Computers
753,308011,"Contoso, Ltd",Contoso,Black,pounds,12.5,5.29,11.5,308,Computers Accessories,3,Computers
754,308012,"Contoso, Ltd",Contoso,Black,pounds,29,15.24,29.9,308,Computers Accessories,3,Computers
755,308013,"Contoso, Ltd",Contoso,Black,pounds,24.6,13,25.5,308,Computers Accessories,3,Computers
756,308014,"Contoso, Ltd",Contoso,Black,pounds,25,13.75,29.9,308,Computers Accessories,3,Computers
757,308015,"Contoso, Ltd",Contoso,Black,pounds,16.8,12.83,27.9,308,Computers Accessories,3,Computers
758,308016,"Contoso, Ltd",Contoso,Black,pounds,15,12.83,27.9,308,Computers Accessories,3,Computers
759,308017,"Contoso, Ltd",Contoso,Black,pounds,19,6.07,11.9,308,Computers Accessories,3,Computers
760,308018,"Contoso, Ltd",Contoso,Black,pounds,7,7.09,13.9,308,Computers Accessories,3,Computers
761,308019,"Contoso, Ltd",Contoso,Black,pounds,23,8.62,16.9,308,Computers Accessories,3,Computers
762,308020,"Contoso, Ltd",Contoso,Black,pounds,16.8,11.23,33.9,308,Computers Accessories,3,Computers
763,308021,"Contoso, Ltd",Contoso,Black,pounds,8.4,10.99,23.9,308,Computers Accessories,3,Computers
764,308022,"Contoso, Ltd",Contoso,Black,pounds,12,13.22,39.9,308,Computers Accessories,3,Computers
765,308023,"Contoso, Ltd",Contoso,Black,pounds,24,15.27,29.95,308,Computers Accessories,3,Computers
766,308024,"Contoso, Ltd",Contoso,Black,pounds,12.6,10.15,19.9,308,Computers Accessories,3,Computers
767,308025,"Contoso, Ltd",Contoso,Black,pounds,13.03,7.9,15.5,308,Computers Accessories,3,Computers
768,308026,"Contoso, Ltd",Contoso,Black,pounds,15.6,9.13,17.9,308,Computers Accessories,3,Computers
769,308027,"Contoso, Ltd",Contoso,Black,pounds,12,11.68,22.9,308,Computers Accessories,3,Computers
770,308028,"Contoso, Ltd",Contoso,Black,pounds,12.3,26.97,52.9,308,Computers Accessories,3,Computers
771,308029,"Contoso, Ltd",Contoso,Black,pounds,28,8.11,15.9,308,Computers Accessories,3,Computers
772,308030,"Contoso, Ltd",Contoso,Black,pounds,23.6,6.07,11.9,308,Computers Accessories,3,Computers
1076,402033,"Contoso, Ltd",Contoso,Black,pounds,6.1,211.05,637,402,Digital SLR Cameras,4,Cameras and camcorders
1077,402034,"Contoso, Ltd",Contoso,Black,pounds,4.9,188.19,568,402,Digital SLR Cameras,4,Cameras and camcorders
1078,402035,"Contoso, Ltd",Contoso,Black,pounds,4.9,144.4,314,402,Digital SLR Cameras,4,Cameras and camcorders
1079,402036,"Contoso, Ltd",Contoso,Black,pounds,5.2,164.63,358,402,Digital SLR Cameras,4,Cameras and camcorders
1316,501001,"Contoso, Ltd",Contoso,Black,pounds,5.5,5.09,9.99,501,Home & Office Phones,5,Cell phones
1317,501002,"Contoso, Ltd",Contoso,Black,pounds,6,6.62,12.99,501,Home & Office Phones,5,Cell phones
1318,501003,"Contoso, Ltd",Contoso,Black,pounds,1.5,8.66,16.99,501,Home & Office Phones,5,Cell phones
1319,501004,"Contoso, Ltd",Contoso,Black,pounds,1.6,10.57,22.99,501,Home & Office Phones,5,Cell phones
1320,501005,"Contoso, Ltd",Contoso,Black,pounds,1.7,12.41,26.99,501,Home & Office Phones,5,Cell phones
1321,501006,"Contoso, Ltd",Contoso,Black,pounds,2.2,13.33,28.99,501,Home & Office Phones,5,Cell phones
1322,501007,"Contoso, Ltd",Contoso,Black,pounds,2.4,15.17,32.99,501,Home & Office Phones,5,Cell phones
1323,501008,"Contoso, Ltd",Contoso,Black,pounds,2,16.55,35.99,501,Home & Office Phones,5,Cell phones
1324,501009,"Contoso, Ltd",Contoso,Black,pounds,2.4,17.93,38.99,501,Home & Office Phones,5,Cell phones
1325,501010,"Contoso, Ltd",Contoso,Black,pounds,2.7,18.39,39.99,501,Home & Office Phones,5,Cell phones
1326,501011,"Contoso, Ltd",Contoso,Black,pounds,2,14.24,42.99,501,Home & Office Phones,5,Cell phones
1327,501012,"Contoso, Ltd",Contoso,Black,pounds,5,15.57,46.99,501,Home & Office Phones,5,Cell phones
1328,501013,"Contoso, Ltd",Contoso,Black,pounds,2.7,16.56,49.99,501,Home & Office Phones,5,Cell phones
1329,501014,"Contoso, Ltd",Contoso,Black,pounds,1.5,7.81,16.99,501,Home & Office Phones,5,Cell phones
1330,501015,"Contoso, Ltd",Contoso,Black,pounds,8,10.57,22.99,501,Home & Office Phones,5,Cell phones
1331,501016,"Contoso, Ltd",Contoso,Black,pounds,2.9,12.41,26.99,501,Home & Office Phones,5,Cell phones
1332,501017,"Contoso, Ltd",Contoso,Black,pounds,2.2,13.33,28.99,501,Home & Office Phones,5,Cell phones
1333,501018,"Contoso, Ltd",Contoso,Black,pounds,2.4,15.17,32.99,501,Home & Office Phones,5,Cell phones
1334,501019,"Contoso, Ltd",Contoso,Black,pounds,2,16.55,35.99,501,Home & Office Phones,5,Cell phones
1335,501020,"Contoso, Ltd",Contoso,Black,pounds,2.4,18.48,40.19,501,Home & Office Phones,5,Cell phones
1336,501021,"Contoso, Ltd",Contoso,Black,pounds,2.7,20.15,43.81,501,Home & Office Phones,5,Cell phones
1337,501022,"Contoso, Ltd",Contoso,Black,pounds,2,21.82,47.44,501,Home & Office Phones,5,Cell phones
1338,501023,"Contoso, Ltd",Contoso,Black,pounds,5,15.17,32.99,501,Home & Office Phones,5,Cell phones
1339,501024,"Contoso, Ltd",Contoso,Black,pounds,2.7,16.55,35.99,501,Home & Office Phones,5,Cell phones
1340,501025,"Contoso, Ltd",Contoso,Black,pounds,1.5,7.23,14.19,501,Home & Office Phones,5,Cell phones
1341,501026,"Contoso, Ltd",Contoso,Black,pounds,8,8.16,16,501,Home & Office Phones,5,Cell phones
1342,501027,"Contoso, Ltd",Contoso,Black,pounds,2.9,13.92,42,501,Home & Office Phones,5,Cell phones
1343,501028,"Contoso, Ltd",Contoso,Black,pounds,5.5,10.27,31,501,Home & Office Phones,5,Cell phones
1344,501029,"Contoso, Ltd",Contoso,Black,pounds,6,8.16,16,501,Home & Office Phones,5,Cell phones
1345,501030,"Contoso, Ltd",Contoso,Black,pounds,1.5,10.12,22,501,Home & Office Phones,5,Cell phones
1346,501031,"Contoso, Ltd",Contoso,Black,pounds,1.6,10.58,23,501,Home & Office Phones,5,Cell phones
1347,501032,"Contoso, Ltd",Contoso,Black,pounds,1.7,9.66,21,501,Home & Office Phones,5,Cell phones
1348,501033,"Contoso, Ltd",Contoso,Black,pounds,2.2,10.57,22.99,501,Home & Office Phones,5,Cell phones
1467,503060,"Contoso, Ltd",Contoso,Black,pounds,1,138.42,301,503,Touch Screen Phones,5,Cell phones
1469,503062,"Contoso, Ltd",Contoso,Black,pounds,1,91.97,200,503,Touch Screen Phones,5,Cell phones
1616,602046,"Contoso, Ltd",Contoso,Black,pounds,14,26.21,56.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1622,602052,"Contoso, Ltd",Contoso,Black,pounds,20,72.56,219,602,Movie DVD,6,"Music, Movies and Audio Books"
1627,602057,"Contoso, Ltd",Contoso,Black,pounds,25,8.27,17.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1628,602058,"Contoso, Ltd",Contoso,Black,pounds,26,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books"
1629,602059,"Contoso, Ltd",Contoso,Black,pounds,27,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1630,602060,"Contoso, Ltd",Contoso,Black,pounds,28,7.58,22.89,602,Movie DVD,6,"Music, Movies and Audio Books"
1631,602061,"Contoso, Ltd",Contoso,Black,pounds,29,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books"
1642,602072,"Contoso, Ltd",Contoso,Black,pounds,40,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books"
1646,602076,"Contoso, Ltd",Contoso,Black,pounds,44,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1647,602077,"Contoso, Ltd",Contoso,Black,pounds,45,82.77,179.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1648,602078,"Contoso, Ltd",Contoso,Black,pounds,46,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1649,602079,"Contoso, Ltd",Contoso,Black,pounds,47,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books"
1650,602080,"Contoso, Ltd",Contoso,Black,pounds,48,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books"
2079,803097,"Contoso, Ltd",Contoso,Black,pounds,37,220.64,665.94,803,Microwaves,8,Home Appliances
2080,803098,"Contoso, Ltd",Contoso,Black,pounds,37,91.97,199.99,803,Microwaves,8,Home Appliances
2081,803099,"Contoso, Ltd",Contoso,Black,pounds,39,82.77,179.99,803,Microwaves,8,Home Appliances
2082,803100,"Contoso, Ltd",Contoso,Black,pounds,37,71.37,139.99,803,Microwaves,8,Home Appliances
2083,803101,"Contoso, Ltd",Contoso,Black,pounds,37,50.98,99.99,803,Microwaves,8,Home Appliances
2084,803102,"Contoso, Ltd",Contoso,Black,pounds,37,48.43,94.99,803,Microwaves,8,Home Appliances
2116,805001,"Contoso, Ltd",Contoso,Black,pounds,11.6,546.68,1650,805,Coffee Machines,8,Home Appliances
2117,805002,"Contoso, Ltd",Contoso,Black,pounds,24.3,343.05,745.99,805,Coffee Machines,8,Home Appliances
2118,805003,"Contoso, Ltd",Contoso,Black,pounds,26.2,204.64,445,805,Coffee Machines,8,Home Appliances
